Month,Boxing: (Worldwide),Ultimate Fighting Championship: (Worldwide)
2004-01,45,7
2004-02,40,8
2004-03,44,6
2004-04,48,8
2004-05,46,6
2004-06,41,7
2004-07,43,6
2004-08,47,7
2004-09,49,5
2004-10,43,7
2004-11,44,7
2004-12,45,6
2005-01,45,7
2005-02,46,12
2005-03,51,10
2005-04,49,23
2005-05,53,8
2005-06,55,9
2005-07,43,8
2005-08,44,17
2005-09,47,12
2005-10,47,13
2005-11,45,20
2005-12,48,11
2006-01,46,12
2006-02,44,20
2006-03,47,15
2006-04,43,23
2006-05,46,29
2006-06,39,21
2006-07,41,33
2006-08,41,24
2006-09,42,20
2006-10,45,25
2006-11,48,27
2006-12,45,28
2007-01,45,25
2007-02,43,23
2007-03,44,25
2007-04,44,31
2007-05,48,32
2007-06,42,24
2007-07,44,25
2007-08,39,27
2007-09,38,35
2007-10,49,24
2007-11,45,24
2007-12,53,32
2008-01,44,28
2008-02,46,32
2008-03,48,23
2008-04,45,31
2008-05,41,26
2008-06,42,27
2008-07,41,32
2008-08,47,27
2008-09,41,30
2008-10,43,28
2008-11,48,35
2008-12,52,35
2009-01,42,31
2009-02,42,33
2009-03,45,27
2009-04,41,34
2009-05,49,43
2009-06,44,41
2009-07,42,65
2009-08,41,58
2009-09,52,40
2009-10,44,37
2009-11,58,41
2009-12,49,43
2010-01,44,34
2010-02,44,39
2010-03,49,39
2010-04,46,44
2010-05,48,55
2010-06,36,42
2010-07,36,50
2010-08,36,60
2010-09,44,36
2010-10,45,49
2010-11,52,39
2010-12,46,45
2011-01,42,36
2011-02,43,56
2011-03,46,41
2011-04,43,32
2011-05,48,42
2011-06,42,35
2011-07,50,35
2011-08,40,55
2011-09,53,39
2011-10,47,40
2011-11,55,49
2011-12,50,60
2012-01,44,51
2012-02,53,45
2012-03,46,27
2012-04,44,41
2012-05,52,41
2012-06,49,36
2012-07,56,64
2012-08,61,32
2012-09,52,36
2012-10,43,33
2012-11,50,35
2012-12,57,41
2013-01,44,34
2013-02,46,46
2013-03,43,39
2013-04,47,39
2013-05,51,32
2013-06,43,26
2013-07,42,41
2013-08,44,34
2013-09,57,34
2013-10,53,31
2013-11,50,34
2013-12,49,52
2014-01,45,26
2014-02,46,35
2014-03,44,29
2014-04,49,31
2014-05,53,24
2014-06,41,25
2014-07,42,35
2014-08,42,26
2014-09,48,26
2014-10,44,24
2014-11,55,27
2014-12,47,32
2015-01,46,49
2015-02,46,40
2015-03,49,35
2015-04,57,29
2015-05,100,36
2015-06,43,33
2015-07,44,45
2015-08,47,51
2015-09,51,26
2015-10,49,27
2015-11,60,51
2015-12,54,65
2016-01,49,37
2016-02,50,41
2016-03,50,74
2016-04,55,50
2016-05,53,43
2016-06,51,43
2016-07,46,88
2016-08,63,66
2016-09,51,50
2016-10,43,36
2016-11,54,69
2016-12,57,63
2017-01,52,35
2017-02,51,38
2017-03,59,39
2017-04,65,36
2017-05,61,33
2017-06,57,38
2017-07,63,56
2017-08,95,37
2017-09,73,31
2017-10,58,30
2017-11,50,39
2017-12,54,44
2018-01,48,36
2018-02,60,34
2018-03,78,31
2018-04,68,42
2018-05,62,28
2018-06,58,29
2018-07,61,36
2018-08,67,32
2018-09,84,37
2018-10,75,79
2018-11,68,36
2018-12,80,54
2019-01,73,33
2019-02,64,47
2019-03,63,45
2019-04,63,35
2019-05,64,33
2019-06,84,38
2019-07,78,53
2019-08,63,49
2019-09,68,53
2019-10,65,41
2019-11,90,49
2019-12,84,45
2020-01,78,66
2020-02,89,44
2020-03,52,45
2020-04,43,21
2020-05,44,54
2020-06,40,43
2020-07,41,65
2020-08,41,51
2020-09,44,55
2020-10,49,64
2020-11,55,39
2020-12,56,35
2021-01,44,66
2021-02,45,48
2021-03,44,65
2021-04,45,55
2021-05,52,51
2021-06,58,49
2021-07,56,69
2021-08,62,41
2021-09,53,40
2021-10,54,41
2021-11,53,41
2021-12,53,43
2022-01,46,46
2022-02,50,40
2022-03,46,40
2022-04,53,38
2022-05,52,38
2022-06,48,35
2022-07,44,58
2022-08,52,42
2022-09,53,48
2022-10,45,45
2022-11,46,38
2022-12,46,38
2023-01,44,36
2023-02,50,49
2023-03,53,67
2023-04,60,54
2023-05,53,38
2023-06,47,41
2023-07,58,68
2023-08,57,50
2023-09,54,56
2023-10,63,58
2023-11,50,46
2023-12,56,47
2024-01,50,46
2024-02,47,55
2024-03,59,59
